date,code,weight
2023-02-16,7222,0.2147451376388462
2023-02-16,8130,0.22018138598460854
2023-02-16,9412,0.226635264897547
2023-02-17,6420,0.1514716126106612
2023-02-17,6750,0.18854905089674323
2023-02-17,7222,0.22126315428596363
2023-02-17,8130,0.2125505094972659
2023-02-17,9412,0.22616567270936605
2023-02-20,6420,0.14693183304984953
2023-02-20,6750,0.18846065182582258
2023-02-20,7222,0.21944449636455393
2023-02-20,8130,0.2163246169853523
2023-02-20,9412,0.22883840177442166
2023-02-21,6420,0.14737846461865733
2023-02-21,6750,0.18824375899393106
2023-02-21,7222,0.21717136958017894
2023-02-21,8130,0.220661014828255
2023-02-21,9412,0.22654539197897766
2023-02-22,6273,1.0
2023-02-24,6273,1.0
2023-02-27,6501,0.7347952480142834
2023-02-27,7269,0.2652047519857166
2023-02-28,6501,1.0
2023-03-01,6501,1.0
2023-03-02,6420,0.1502163610138059
2023-03-02,6750,0.18918423884424296
2023-03-02,7222,0.20280239027405728
2023-03-02,8130,0.2208393433614946
2023-03-02,9412,0.23695766650639924
2023-03-03,6420,0.1484532498591606
2023-03-03,6750,0.18806209659021247
2023-03-03,7222,0.20547031043639258
2023-03-03,8130,0.22077563315646287
2023-03-03,9412,0.23723870995777147
2023-03-06,6420,0.15281237819241786
2023-03-06,6750,0.185272317460024
2023-03-06,7222,0.20760865043746735
2023-03-06,8130,0.22062713668794304
2023-03-06,9412,0.23367951722214775
2023-03-07,6420,0.15349548502088378
2023-03-07,6750,0.18488329465396408
2023-03-07,7222,0.20693743759021138
2023-03-07,8130,0.21974994669763062
2023-03-07,9412,0.23493383603731013
2023-03-08,6420,0.15541954367829044
2023-03-08,6750,0.18538564392774146
2023-03-08,7222,0.20713265371389586
2023-03-08,8130,0.21790564721720512
2023-03-08,9412,0.23415651146286715
2023-03-09,6420,0.15805826181700586
2023-03-09,6750,0.18200735337452795
2023-03-09,7222,0.20506182969971454
2023-03-09,8130,0.21667520480190772
2023-03-09,9412,0.23819735030684397
2023-03-10,6420,0.15550847331360648
2023-03-10,6750,0.18000017879332386
2023-03-10,7222,0.2073361880667376
2023-03-10,8130,0.2161015307688411
2023-03-10,9412,0.241053629057491
2023-03-13,6420,0.1508661960433151
2023-03-13,6750,0.1793894804033828
2023-03-13,7222,0.21595984928355233
2023-03-13,8130,0.21491161064211803
2023-03-13,9412,0.23887286362763174
2023-03-14,6501,0.6181952124911502
2023-03-14,7269,0.22366583111689406
2023-03-14,7270,0.15813895639195577
2023-03-15,6501,0.6187572876934326
2023-03-15,7269,0.22421391727109233
2023-03-15,7270,0.157028795035475
2023-03-16,6501,0.6220204869067905
2023-03-16,7269,0.2215367138688133
2023-03-16,7270,0.15644279922439627
2023-03-17,6501,0.622799723493994
2023-03-17,7269,0.2200827514351263
2023-03-17,7270,0.1571175250708797
2023-03-20,6501,0.6296615903586102
2023-03-20,7269,0.217156809868892
2023-03-20,7270,0.1531815997724977
2023-03-22,6501,0.6304244441802401
2023-03-22,7269,0.21663099908849523
2023-03-22,7270,0.1529445567312646
2023-03-23,6501,0.6273904876838181
2023-03-23,7269,0.2186353417484988
2023-03-23,7270,0.15397417056768303
2023-03-24,6501,0.6237223766942133
2023-03-24,7269,0.22225559247812904
2023-03-24,7270,0.1540220308276577
2023-03-27,6501,0.6231595895326958
2023-03-27,7269,0.22293456964947334
2023-03-27,7270,0.15390584081783087
2023-03-28,7270,1.0
2023-03-29,7270,1.0
2023-03-30,7270,1.0
2023-03-31,7270,1.0
2023-04-03,7270,1.0
2023-04-04,7270,1.0
2023-04-05,7270,1.0
2023-04-06,7270,1.0
2023-04-07,6273,1.0
2023-04-10,7269,0.5920293790570771
2023-04-10,7270,0.4079706209429229
2023-04-11,7269,0.5890862812321438
2023-04-11,7270,0.4109137187678562
2023-04-12,7269,1.0
2023-04-13,7269,1.0
2023-04-14,7269,1.0
2023-04-17,7269,0.5897402798574896
2023-04-17,7270,0.41025972014251044
2023-04-18,6420,0.16254539007959312
2023-04-18,6750,0.17955826435671407
2023-04-18,7222,0.21795796603538287
2023-04-18,8130,0.19904390458607915
2023-04-18,9412,0.24089447494223082
2023-04-19,6420,0.16294351940949342
2023-04-19,6750,0.17705909938001682
2023-04-19,7222,0.2214491041303792
2023-04-19,8130,0.20036937112510506
2023-04-19,9412,0.23817890595500554
2023-04-20,7269,1.0
2023-04-21,7269,1.0
2023-04-24,7269,1.0
2023-04-25,7269,1.0
2023-04-26,7269,1.0
2023-04-27,7309,1.0
2023-04-28,7269,1.0
2023-05-01,7269,1.0
2023-05-02,6420,0.18805888130780077
2023-05-02,6750,0.19557945965689316
2023-05-02,7222,0.24343903165355651
2023-05-02,8074,0.1516290747434596
2023-05-02,8130,0.22129355263828995
2023-05-08,6420,0.18916383253195732
2023-05-08,6750,0.1958914269007973
